frame.number,frame.time_relative,_ws.col.Protocol,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
"86","6.119427000","TLSv1.2","6","192.168.68.126","34.203.91.157","55583","443",,
"87","6.119531000","TLSv1.2","6","192.168.68.126","34.203.91.157","55587","443",,
"88","6.170135000","TCP","6","34.203.91.157","192.168.68.126","443","55579",,
"89","6.170140000","TCP","6","34.203.91.157","192.168.68.126","443","55583",,
"90","6.170140000","TLSv1.2","6","34.203.91.157","192.168.68.126","443","55579",,
"91","6.170141000","TCP","6","34.203.91.157","192.168.68.126","443","55587",,
"92","6.170142000","TLSv1.2","6","34.203.91.157","192.168.68.126","443","55583",,
"93","6.170143000","TLSv1.2","6","34.203.91.157","192.168.68.126","443","55587",,
"94","6.170294000","TCP","6","192.168.68.126","34.203.91.157","55579","443",,
"95","6.170365000","TCP","6","192.168.68.126","34.203.91.157","55583","443",,
"96","6.170365000","TCP","6","192.168.68.126","34.203.91.157","55587","443",,
"97","6.183915000","TCP","6","52.114.128.10","192.168.68.126","443","55890",,
"98","6.191208000","TCP","6","52.114.128.10","192.168.68.126","443","55890",,
"99","6.191373000","TCP","6","192.168.68.126","52.114.128.10","55890","443",,
"100","6.806828000","ARP",,,,,,,
"101","6.887709000","TLSv1.2","6","192.168.68.126","34.203.91.157","55592","443",,
"102","6.887808000","TLSv1.2","6","192.168.68.126","34.203.91.157","55602","443",,
"103","6.909316000","MDNS","17","192.168.68.130","224.0.0.251",,,"5353","5353"
"104","6.939436000","TCP","6","34.203.91.157","192.168.68.126","443","55592",,
"105","6.939446000","TLSv1.2","6","34.203.91.157","192.168.68.126","443","55592",,
"106","6.939621000","TCP","6","192.168.68.126","34.203.91.157","55592","443",,
"107","6.939787000","TLSv1.2","6","34.203.91.157","192.168.68.126","443","55602",,
"108","6.939937000","TCP","6","192.168.68.126","34.203.91.157","55602","443",,
"109","7.010961000","ARP",,,,,,,
"110","7.830485000","ARP",,,,,,,
"111","7.903181000","TLSv1.2","6","192.168.68.126","52.114.159.143","55626","443",,
"112","7.988585000","TLSv1.2","6","52.114.159.143","192.168.68.126","443","55626",,
"113","7.988684000","TCP","6","192.168.68.126","52.114.159.143","55626","443",,
